cliente_id,nombre,tipo,documento_tipo,documento_numero,fecha_nacimiento,nacionalidad,pais_residencia,actividad,oferta_publica
CL001,Juan Pérez,PERSONA,DNI,28456123,1980-05-12,ARGENTINA,ARGENTINA,Comercio minorista,no
CL002,Alireza Abbas,PERSONA,PASAPORTE,K1234567,1965-01-12,IRAN,IRAN,Importación,no
CL003,Petroquímica del Sur S.A.,ENTIDAD,CUIT,30-71234567-8,,,ARGENTINA,Industria química,no
CL004,Carlos A. Gomez Rivera,PERSONA,DNI,30111222,1978-03-04,ARGENTINA,ARGENTINA,Consultoría,no
CL005,María González,PERSONA,DNI,27998877,1991-11-30,ARGENTINA,ARGENTINA,Servicios profesionales,no
CL006,Khaled Shaikh Mohamed,PERSONA,PASAPORTE,ZZ9988776,1964-03-01,PAKISTAN,EMIRATOS,Comercio exterior,no
CL007,Eastern Trading Co,ENTIDAD,TAX_ID,88991122,,,SINGAPUR,Logística,no
CL008,Ana Beatriz Rodríguez,PERSONA,DNI,33445566,1985-07-19,ARGENTINA,ARGENTINA,Docencia,no
CL009,Delta Servicios Financieros SA,ENTIDAD,CUIT,30-99887766-1,,,ARGENTINA,Casa de cambio,no
CL010,Blue Harbour Trading Ltd,ENTIDAD,TAX_ID,77001122,,,PANAMA,Comercio exterior,no
CL011,Grupo Cotizante SA,ENTIDAD,CUIT,30-55443322-9,,,ARGENTINA,Industria alimenticia,si
CL012,Fernanda Ortiz,PERSONA,DNI,31222333,1987-02-14,ARGENTINA,ARGENTINA,Servicios profesionales,no
CL013,Sark Trust Services,ENTIDAD,TAX_ID,55009911,,,Isla de Sark,Fideicomisos,no
CL014,Nadia Haddad,PERSONA,PASAPORTE,LB884422,1982-09-03,Líbano,Argentina,Comercio,no
CL015,Pyongyang Trading Co,ENTIDAD,TAX_ID,11223344,,,República Popular Democrática de Corea,Comercio exterior,no
